Género,Evento,Año,Medalla,Nombre,Apellido,Pais,Arrancada,Dos_Tiempos,Total
Femenino,49 kg (28.05),2022,Oro,Giulia,Imperio,Italia,79.0,92.0,171.0
Femenino,55 kg (29.05),2022,Oro,Evagjelia,Veli,Albania,95.0,113.0,208.0
Femenino,59 kg (30.05),2022,Oro,Dora,Tchakounté,Francia,96.0,117.0,213.0
Femenino,64 kg (31.05),2022,Oro,Mariya,Hanhur,Ucrania,102.0,120.0,222.0
Femenino,71 kg (01.06),2022,Oro,Patricia,Strenius,Suecia,94.0,130.0,224.0
Femenino,76 kg (02.06),2022,Oro,Marie,Fegue,Francia,110.0,135.0,245.0
Femenino,81 kg (03.06),2022,Oro,Iryna,Deja,Ucrania,116.0,137.0,253.0
Femenino,87 kg (04.06),2022,Oro,Solfrid,Koanda,Noruega,109.0,143.0,252.0
Femenino,+87 kg (05.06),2022,Oro,Emily,Campbell,Reino Unido,118.0,153.0,271.0
Masculino,55 kg (16.04),2023,Oro,Anguel,Rusev,Bulgaria,109.0,141.0,250.0
Masculino,61 kg (16.04),2023,Oro,Shota,Mishvelidze,Georgia,136.0,162.0,298.0
Masculino,67 kg (17.04),2023,Oro,Gor,Sahakian,Armenia,145.0,175.0,320.0
Masculino,73 kg (18.04),2023,Oro,Ritvars,Suharevs,Letonia,152.0,184.0,336.0
Masculino,81 kg (19.04),2023,Oro,Oscar,Reyes Martínez,Italia,155.0,188.0,343.0
Masculino,89 kg (20.04),2023,Oro,Karlos,Nasar,Bulgaria,174.0,221.0,395.0
Masculino,96 kg (21.04),2023,Oro,Davit,Hovhannisian,Armenia,172.0,205.0,377.0
Masculino,102 kg (22.04),2023,Oro,Garik,Karapetian,Armenia,178.0,214.0,392.0
Masculino,109 kg (22.04),2023,Oro,Samvel,Gasparian,Armenia,175.0,220.0,395.0
Masculino,+109 kg (23.04),2023,Oro,Lasha,Talajadze,Georgia,222.0,252.0,474.0
Femenino,45 kg (15.04),2023,Oro,Cansu,Bektaş,Turquía,72.0,90.0,162.0
Femenino,49 kg (15.04),2023,Oro,Mihaela,Cambei,Rumania,92.0,106.0,198.0
Femenino,55 kg (16.04),2023,Oro,Andreea,Cotruță,Rumania,91.0,110.0,201.0
Femenino,59 kg (17.04),2023,Oro,Kamila,Konotop,Ucrania,106.0,129.0,235.0
Femenino,64 kg (18.04),2023,Oro,Nuray,Güngör,Turquía,99.0,120.0,219.0
Femenino,71 kg (19.04),2023,Oro,Loredana,Toma,Rumania,110.0,130.0,240.0
Femenino,76 kg (20.04),2023,Oro,Marie,Fegue,Francia,113.0,140.0,253.0
Femenino,81 kg (21.04),2023,Oro,Iryna,Deja,Ucrania,123.0,135.0,258.0
Femenino,87 kg (22.04),2023,Oro,Solfrid,Koanda,Noruega,117.0,155.0,272.0
Femenino,+87 kg (23.04),2023,Oro,Emily,Campbell,Reino Unido,110.0,143.0,253.0
Masculino,55 kg (13.02),2024,Oro,Anguel,Rusev,Bulgaria,109.0,135.0,244.0
Masculino,61 kg (13.02),2024,Oro,Gabriel,Marinov,Bulgaria,121.0,160.0,281.0
Masculino,67 kg (14.02),2024,Oro,Gor,Sahakian,Armenia,140.0,171.0,311.0
Masculino,73 kg (15.02),2024,Oro,Bozhidar,Andreev,Bulgaria,155.0,193.0,348.0
Masculino,81 kg (16.02),2024,Oro,Oscar,Reyes Martínez,Italia,155.0,191.0,346.0
Masculino,89 kg (17.02),2024,Oro,Karlos,Nasar,Bulgaria,176.0,215.0,391.0
Masculino,96 kg (18.02),2024,Oro,Hakob,Mkrtchian,Armenia,166.0,209.0,375.0
Masculino,102 kg (19.02),2024,Oro,Yauheni,Tsijantsou,AIN,181.0,217.0,398.0
Masculino,109 kg (19.02),2024,Oro,Dadaş,Dadaşbəyli,Azerbaiyán,176.0,212.0,388.0
Masculino,+109 kg (20.02),2024,Oro,Varazdat,Lalayan,Armenia,205.0,250.0,455.0
Femenino,45 kg (12.02),2024,Oro,Cansu,Bektaş,Turquía,75.0,88.0,163.0
Femenino,49 kg (12.02),2024,Oro,Mihaela,Cambei,Rumania,90.0,109.0,199.0
Femenino,55 kg (13.02),2024,Oro,Alexandra,Grigorian,Armenia,81.0,115.0,196.0
Femenino,59 kg (14.02),2024,Oro,Kamila,Konotop,Ucrania,105.0,125.0,230.0
Femenino,64 kg (15.02),2024,Oro,Hanna,Davydova,Ucrania,100.0,120.0,220.0
Femenino,71 kg (16.02),2024,Oro,Loredana,Toma,Rumania,114.0,127.0,241.0
Femenino,76 kg (17.02),2024,Oro,Genna,Toko Kegne,Italia,101.0,120.0,221.0
Femenino,81 kg (18.02),2024,Oro,Weronika,Zielińska-Stubińska,Polonia,103.0,132.0,235.0
Femenino,87 kg (19.02),2024,Oro,Solfrid,Koanda,Noruega,120.0,160.0,280.0
Femenino,+87 kg (20.02),2024,Oro,Emily,Campbell,Reino Unido,112.0,151.0,263.0
Masculino,55 kg (04.04),2021,Plata,Valentin,Iancu,Rumania,108.0,140.0,248.0
Masculino,61 kg (04.04),2021,Plata,Shota,Mishvelidze,Georgia,135.0,155.0,290.0
Masculino,67 kg (05.04),2021,Plata,Mirko,Zanni,Italia,148.0,170.0,318.0
Masculino,73 kg (06.04),2021,Plata,Marin,Robu,Moldavia,156.0,183.0,339.0
Masculino,81 kg (07.04),2021,Plata,Karlos,Nasar,Bulgaria,163.0,206.0,369.0
Masculino,89 kg (08.04),2021,Plata,Revaz,Davitadze,Georgia,171.0,203.0,374.0
Masculino,96 kg (09.04),2021,Plata,Piotr,Asayonak,Bielorrusia,172.0,202.0,374.0
Masculino,102 kg (10.04),2021,Plata,Arsen,Martirosian,Armenia,171.0,209.0,380.0
Masculino,109 kg (10.04),2021,Plata,Jristo,Jristov,Bulgaria,186.0,220.0,406.0
Masculino,+109 kg (11.04),2021,Plata,Gor,Minasian,Armenia,216.0,248.0,464.0
Femenino,45 kg (03.04),2021,Plata,Ivana,Petrova,Bulgaria,67.0,85.0,152.0
Femenino,49 kg (03.04),2021,Plata,Kristina,Sobol,Rusia,85.0,96.0,181.0
Femenino,55 kg (04.04),2021,Plata,Svetlana,Yershova,Rusia,88.0,112.0,200.0
Femenino,59 kg (05.04),2021,Plata,Olga,Tio,Rusia,95.0,115.0,210.0
Femenino,64 kg (06.04),2021,Plata,Sarah,Davies,Reino Unido,101.0,129.0,230.0
Femenino,71 kg (07.04),2021,Plata,Alessia,Durante,Italia,97.0,122.0,219.0
Femenino,76 kg (08.04),2021,Plata,Yana,Sotiyeva,Rusia,112.0,134.0,246.0
Femenino,81 kg (09.04),2021,Plata,Gaëlle,Nayo-Ketchanke,Francia,100.0,131.0,231.0
Femenino,87 kg (10.04),2021,Plata,Elena,Cîlcic,Moldavia,107.0,138.0,245.0
Femenino,+87 kg (11.04),2021,Plata,Anastasiya,Lysenko,Ucrania,116.0,136.0,252.0
Masculino,55 kg (29.05),2022,Plata,Josué,Brachi García,España,115.0,141.0,256.0
Masculino,61 kg (29.05),2022,Plata,Simon,Brandhuber,Alemania,134.0,152.0,286.0
Masculino,67 kg (30.05),2022,Plata,Shota,Mishvelidze,Georgia,142.0,165.0,307.0
Masculino,73 kg (31.05),2022,Plata,Kaji,Asanidze,Georgia,150.0,176.0,326.0
Masculino,81 kg (01.06),2022,Plata,Andrés,Mata Pérez,España,160.0,186.0,346.0
Masculino,89 kg (02.06),2022,Plata,Karlos,Nasar,Bulgaria,171.0,211.0,382.0
Masculino,96 kg (03.06),2022,Plata,Ara,Aghanian,Armenia,170.0,205.0,375.0
Masculino,102 kg (04.06),2022,Plata,Samvel,Gasparian,Armenia,176.0,214.0,390.0
Masculino,109 kg (04.06),2022,Plata,Guiorgui,Chjeidze,Georgia,174.0,210.0,384.0
Masculino,+109 kg (05.06),2022,Plata,Varazdat,Lalayan,Armenia,211.0,240.0,451.0
Femenino,45 kg (28.05),2022,Plata,Cansu,Bektaş,Turquía,68.0,85.0,153.0
Femenino,49 kg (28.05),2022,Plata,Anhelina,Lomachynska,Ucrania,80.0,87.0,167.0
Femenino,55 kg (29.05),2022,Plata,Kamila,Konotop,Ucrania,94.0,11.0,207.0
Femenino,59 kg (30.05),2022,Plata,Lucrezia,Magistris,Italia,98.0,114.0,212.0
Femenino,64 kg (31.05),2022,Plata,Nuray,Güngör,Turquía,99.0,120.0,219.0
Femenino,71 kg (01.06),2022,Plata,Lisa,Marie Schweizer,Alemania,103.0,120.0,223.0
Femenino,76 kg (02.06),2022,Plata,Daniela,Ivanova,Letonia,96.0,126.0,222.0
Femenino,81 kg (03.06),2022,Plata,Alina,Marushchak,Ucrania,108.0,127.0,235.0
Femenino,87 kg (04.06),2022,Plata,Anastasiya,Manievska,Ucrania,107.0,130.0,237.0
Femenino,+87 kg (05.06),2022,Plata,Melike,Günal,Turquía,108.0,134.0,242.0
Masculino,55 kg (16.04),2023,Plata,Ramin,Shamilishvili,Georgia,113.0,136.0,249.0
Masculino,61 kg (16.04),2023,Plata,Sergio,Massidda,Italia,130.0,162.0,292.0
Masculino,67 kg (17.04),2023,Plata,Acorán,Hernández Mendoza,España,140.0,165.0,305.0
Masculino,73 kg (18.04),2023,Plata,David,Sánchez López,España,150.0,185.0,335.0
Masculino,81 kg (19.04),2023,Plata,Batu,Han Yüksel,Turquía,152.0,187.0,339.0
Masculino,89 kg (20.04),2023,Plata,Andranik,Karapetian,Armenia,178.0,196.0,374.0
Masculino,96 kg (21.04),2023,Plata,Ara,Aghanian,Armenia,165.0,199.0,364.0
Masculino,102 kg (22.04),2023,Plata,Irakli,Chjeidze,Georgia,173.0,214.0,387.0
Masculino,109 kg (22.04),2023,Plata,Guiorgui,Chjeidze,Georgia,173.0,208.0,381.0
Masculino,+109 kg (23.04),2023,Plata,Varazdat,Lalayan,Armenia,212.0,250.0,462.0
Femenino,45 kg (15.04),2023,Plata,Adriana,Pană,Rumania,70.0,83.0,153.0
Femenino,49 kg (15.04),2023,Plata,Giulia,Imperio,Italia,83.0,100.0,183.0
Femenino,55 kg (16.04),2023,Plata,Svitlana,Samuliak,Ucrania,90.0,109.0,199.0
Femenino,59 kg (17.04),2023,Plata,Nina,Sterckx,Bélgica,93.0,116.0,209.0
Femenino,64 kg (18.04),2023,Plata,Mariya,Hanhur,Ucrania,98.0,116.0,214.0
Femenino,71 kg (19.04),2023,Plata,Giulia,Miserendino,Italia,105.0,125.0,230.0
Femenino,76 kg (20.04),2023,Plata,Tatev,Hakobian,Armenia,104.0,122.0,226.0
Femenino,81 kg (21.04),2023,Plata,Dilara,Narin,Turquía,101.0,134.0,235.0
Femenino,87 kg (22.04),2023,Plata,Anastasiya,Manievska,Ucrania,108.0,130.0,238.0
Femenino,+87 kg (23.04),2023,Plata,Anastasiya,Hotfrid,Georgia,117.0,135.0,252.0
Masculino,55 kg (13.02),2024,Plata,Ramin,Shamilishvili,Georgia,111.0,130.0,241.0
Masculino,61 kg (13.02),2024,Plata,Ivan,Dimov,Bulgaria,130.0,150.0,280.0
Masculino,67 kg (14.02),2024,Plata,Kaan,Kahriman,Turquía,142.0,168.0,310.0
Masculino,73 kg (15.02),2024,Plata,Muhammed,Özbek,Turquía,150.0,186.0,336.0
Masculino,81 kg (16.02),2024,Plata,Kristi,Ramadani,Albania,151.0,190.0,341.0
Masculino,89 kg (17.02),2024,Plata,Antonino,Pizzolato,Italia,170.0,210.0,380.0
Masculino,96 kg (18.02),2024,Plata,Davit,Hovhannisian,Armenia,169.0,205.0,374.0
Masculino,102 kg (19.02),2024,Plata,Samvel,Gasparian,Armenia,180.0,216.0,396.0
Masculino,109 kg (19.02),2024,Plata,Jristo,Jristov,Bulgaria,175.0,205.0,380.0
Masculino,+109 kg (20.02),2024,Plata,Simon,Martirosian,Armenia,190.0,247.0,437.0
Femenino,45 kg (12.02),2024,Plata,Gamze,Altun,Turquía,65.0,92.0,157.0
Femenino,49 kg (12.02),2024,Plata,Oliwia,Drzazga,Polonia,74.0,96.0,170.0
Femenino,55 kg (13.02),2024,Plata,Celine,Delia,Italia,84.0,111.0,195.0
Femenino,59 kg (14.02),2024,Plata,Dora,Tchakounté,Francia,98.0,117.0,215.0
Femenino,64 kg (15.02),2024,Plata,Svitlana,Samuliak,Ucrania,101.0,118.0,219.0
Femenino,71 kg (16.02),2024,Plata,Siuzanna,Valodzka,AIN,105.0,130.0,235.0
Femenino,76 kg (17.02),2024,Plata,Nikol,Rubanovich,Israel,99.0,117.0,216.0
Femenino,81 kg (18.02),2024,Plata,Elena,Erighina,Moldavia,103.0,131.0,234.0
Femenino,87 kg (19.02),2024,Plata,Anastasiya,Manievska,Ucrania,102.0,128.0,230.0
Femenino,+87 kg (20.02),2024,Plata,Anastasiya,Hotfrid,Georgia,117.0,140.0,257.0
Masculino,55 kg (04.04),2021,Bronce,Dmytro,Voronovsky,Ucrania,110.0,137.0,247.0
Masculino,61 kg (04.04),2021,Bronce,Ferdi,Hardal,Turquía,130.0,157.0,287.0
Masculino,67 kg (05.04),2021,Bronce,Valentin,Guenchev,Bulgaria,138.0,177.0,315.0
Masculino,73 kg (06.04),2021,Bronce,Briken,Calja,Albania,152.0,184.0,336.0
Masculino,81 kg (07.04),2021,Bronce,Ritvars,Suharevs,Letonia,157.0,190.0,347.0
Masculino,89 kg (08.04),2021,Bronce,Andranik,Karapetian,Armenia,170.0,195.0,365.0
Masculino,96 kg (09.04),2021,Bronce,Hakob,Mkrtchian,Armenia,160.0,212.0,372.0
Masculino,102 kg (10.04),2021,Bronce,Dadaş,Dadaşbəyli,Azerbaiyán,177.0,202.0,379.0
Masculino,109 kg (10.04),2021,Bronce,Timur,Naniyev,Rusia,184.0,217.0,401.0
Masculino,+109 kg (11.04),2021,Bronce,Varazdat,Lalayan,Armenia,205.0,240.0,445.0
Femenino,45 kg (03.04),2021,Bronce,Melisa,Güneş,Turquía,68.0,83.0,151.0
Femenino,49 kg (03.04),2021,Bronce,Mihaela,Cambei,Rumania,80.0,100.0,180.0
Femenino,55 kg (04.04),2021,Bronce,Nina,Sterckx,Bélgica,88.0,109.0,197.0
Femenino,59 kg (05.04),2021,Bronce,Dora,Tchakounté,Francia,95.0,115.0,210.0
Femenino,64 kg (06.04),2021,Bronce,Anastasiya,Anzorova,Rusia,100.0,122.0,222.0
Femenino,71 kg (07.04),2021,Bronce,Raluca,Olaru,Rumania,98.0,120.0,218.0
Femenino,76 kg (08.04),2021,Bronce,Anastasiya,Romanova,Rusia,111.0,132.0,243.0
Femenino,81 kg (09.04),2021,Bronce,Liana,Guiurdzhian,Armenia,98.0,129.0,227.0
Femenino,87 kg (10.04),2021,Bronce,Daria,Riazanova,Rusia,105.0,135.0,240.0
Femenino,+87 kg (11.04),2021,Bronce,Melike,Günal,Turquía,108.0,135.0,243.0
Masculino,55 kg (29.05),2022,Bronce,Dmytro,Voronovsky,Ucrania,108.0,134.0,242.0
Masculino,61 kg (29.05),2022,Bronce,Gabriel,Marinov,Bulgaria,122.0,157.0,279.0
Masculino,67 kg (30.05),2022,Bronce,Acorán,Hernández Mendoza,España,138.0,161.0,299.0
Masculino,73 kg (31.05),2022,Bronce,Piotr,Kudłaszyk,Polonia,143.0,181.0,324.0
Masculino,81 kg (01.06),2022,Bronce,Bozhidar,Andreev,Bulgaria,153.0,190.0,343.0
Masculino,89 kg (02.06),2022,Bronce,Revaz,Davitadze,Georgia,171.0,198.0,369.0
Masculino,96 kg (03.06),2022,Bronce,Romain,Imadouchène,Francia,160.0,210.0,370.0
Masculino,102 kg (04.06),2022,Bronce,Marcos,Ruiz Velasco,España,176.0,208.0,384.0
Masculino,109 kg (04.06),2022,Bronce,Arsen,Martirosian,Armenia,170.0,201.0,371.0
Masculino,+109 kg (05.06),2022,Bronce,Gor,Minasian,Armenia,210.0,236.0,446.0
Femenino,45 kg (28.05),2022,Bronce,Radmila,Zagorac,Serbia,68.0,84.0,152.0
Femenino,49 kg (28.05),2022,Bronce,María,Giménez-Guervos,España,72.0,91.0,163.0
Femenino,55 kg (29.05),2022,Bronce,Nina,Sterckx,Bélgica,94.0,111.0,205.0
Femenino,59 kg (30.05),2022,Bronce,Ine,Andersson,Noruega,90.0,118.0,208.0
Femenino,64 kg (31.05),2022,Bronce,Vicky,Graillot,Francia,89.0,119.0,208.0
Femenino,71 kg (01.06),2022,Bronce,Monika,Marach,Polonia,99.0,116.0,215.0
Femenino,76 kg (02.06),2022,Bronce,Dilara,Ucan,Turquía,99.0,121.0,220.0
Femenino,81 kg (03.06),2022,Bronce,Dilara,Narin,Turquía,99.0,133.0,232.0
Femenino,87 kg (04.06),2022,Bronce,Anastasiya,Hotfrid,Georgia,106.0,129.0,235.0
Femenino,+87 kg (05.06),2022,Bronce,Sarah,Fischer,Austria,102.0,128.0,230.0
Masculino,55 kg (16.04),2023,Bronce,Valentin,Iancu,Rumania,109.0,136.0,245.0
Masculino,61 kg (16.04),2023,Bronce,Ivan,Dimov,Bulgaria,127.0,150.0,277.0
Masculino,67 kg (17.04),2023,Bronce,Kaan,Kahriman,Turquía,141.0,160.0,301.0
Masculino,73 kg (18.04),2023,Bronce,Mirko,Zanni,Italia,155.0,180.0,335.0
Masculino,81 kg (19.04),2023,Bronce,Rafik,Harutiunian,Armenia,150.0,187.0,337.0
Masculino,89 kg (20.04),2023,Bronce,Marin,Robu,Moldavia,166.0,198.0,364.0
Masculino,96 kg (21.04),2023,Bronce,Cristiano,Ficco,Italia,165.0,198.0,363.0
Masculino,102 kg (22.04),2023,Bronce,Tudor,Bratu,Moldavia,170.0,204.0,374.0
Masculino,109 kg (22.04),2023,Bronce,Petros,Petrosian,Armenia,165.0,214.0,379.0
Masculino,+109 kg (23.04),2023,Bronce,Simon,Martirosian,Armenia,195.0,245.0,440.0
Femenino,45 kg (15.04),2023,Bronce,Marta,García Rincón,España,68.0,85.0,153.0
Femenino,49 kg (15.04),2023,Bronce,Anhelina,Lomachynska,Ucrania,81.0,95.0,176.0
Femenino,55 kg (16.04),2023,Bronce,Izabella,Yailian,Armenia,87.0,109.0,196.0
Femenino,59 kg (17.04),2023,Bronce,Nadiya,Shpylka,Ucrania,93.0,114.0,207.0
Femenino,64 kg (18.04),2023,Bronce,Zoe,Smith,Reino Unido,93.0,121.0,214.0
Femenino,71 kg (19.04),2023,Bronce,Sarah,Davies,Reino Unido,100.0,126.0,226.0
Femenino,76 kg (20.04),2023,Bronce,Daniela,Ivanova,Letonia,96.0,126.0,222.0
Femenino,81 kg (21.04),2023,Bronce,Elena,Erighina,Moldavia,104.0,130.0,234.0
Femenino,87 kg (22.04),2023,Bronce,Hripsime,Jurshudian,Armenia,107.0,120.0,227.0
Femenino,+87 kg (23.04),2023,Bronce,Valentyna,Kisil,Ucrania,111.0,133.0,244.0
Masculino,55 kg (13.02),2024,Bronce,Dzhan,Zarkov,Bulgaria,102.0,133.0,235.0
Masculino,61 kg (13.02),2024,Bronce,Shota,Mishvelidze,Georgia,125.0,147.0,272.0
Masculino,67 kg (14.02),2024,Bronce,Ferdi,Hardal,Turquía,135.0,169.0,304.0
Masculino,73 kg (15.02),2024,Bronce,Ritvars,Suharevs,Letonia,154.0,177.0,331.0
Masculino,81 kg (16.02),2024,Bronce,Rafik,Harutiunian,Armenia,154.0,182.0,336.0
Masculino,89 kg (17.02),2024,Bronce,Marin,Robu,Moldavia,171.0,207.0,378.0
Masculino,96 kg (18.02),2024,Bronce,Pavel,Jadasevich,AIN,165.0,195.0,360.0
Masculino,102 kg (19.02),2024,Bronce,Garik,Karapetian,Armenia,182.0,212.0,394.0
Masculino,109 kg (19.02),2024,Bronce,Matthäus,Hofmann,Alemania,172.0,206.0,378.0
Masculino,+109 kg (20.02),2024,Bronce,Eduard,Ziaziulin,AIN,195.0,241.0,436.0
Femenino,45 kg (12.02),2024,Bronce,Marta,García Rincón,España,72.0,84.0,156.0
Femenino,49 kg (12.02),2024,Bronce,Tham,Nguyen,Irlanda,74.0,95.0,169.0
Femenino,55 kg (13.02),2024,Bronce,Sol,Anette Waaler,Noruega,86.0,104.0,190.0
Femenino,59 kg (14.02),2024,Bronce,Saara,Retulainen,Finlandia,95.0,119.0,214.0
Femenino,64 kg (15.02),2024,Bronce,Wiktoria,Wołk,Polonia,94.0,121.0,215.0
Femenino,71 kg (16.02),2024,Bronce,Lisa,Marie Schweizer,Alemania,107.0,124.0,231.0
Femenino,76 kg (17.02),2024,Bronce,Lara,Dancz,Alemania,101.0,114.0,215.0
Femenino,81 kg (18.02),2024,Bronce,Dilara,Narin,Turquía,97.0,125.0,222.0
Femenino,87 kg (19.02),2024,Bronce,Hripsime,Jurshudian,Armenia,105.0,122.0,227.0
Femenino,+87 kg (20.02),2024,Bronce,Fatmagül,Çevik,Turquía,107.0,131.0,238.0
