Evento,Año,Género,Medalla,Nombre,Apellido,Pais,Arrancada,Dos tiempos,Total,Fecha,País,Resultados
64 kg (18.04),2023,Femenino,Oro,Nuray,Güngör,Turquía,99.0,120.0,219.0,2023,Turquía,99 + 120 = 219
71 kg (19.04),2023,Femenino,Oro,Loredana,Toma,Rumania,110.0,130.0,240.0,2023,Rumania,110 + 130 = 240
76 kg (20.04),2023,Femenino,Oro,Marie,Fegue,Francia,113.0,140.0,253.0,2023,Francia,113 + 140 = 253
81 kg (21.04),2023,Femenino,Oro,Iryna,Deja,Ucrania,123.0,135.0,258.0,2023,Ucrania,123 + 135 = 258
87 kg (22.04),2023,Femenino,Oro,Solfrid,Koanda,Noruega,117.0,155.0,272.0,2023,Noruega,117 + 155 = 272
+87 kg (23.04),2023,Femenino,Oro,Emily,Campbell,Reino Unido,110.0,143.0,253.0,2023,Reino Unido,110 + 143 = 253
55 kg (13.02),2024,Masculino,Oro,Anguel,Rusev,Bulgaria,109.0,135.0,244.0,2024,Bulgaria,109 + 135 = 244
61 kg (13.02),2024,Masculino,Oro,Gabriel,Marinov,Bulgaria,121.0,160.0,281.0,2024,Bulgaria,121 + 160 = 281
67 kg (14.02),2024,Masculino,Oro,Gor,Sahakian,Armenia,140.0,171.0,311.0,2024,Armenia,140 + 171 = 311
73 kg (15.02),2024,Masculino,Oro,Bozhidar,Andreev,Bulgaria,155.0,193.0,348.0,2024,Bulgaria,155 + 193 = 348
81 kg (16.02),2024,Masculino,Oro,Oscar,Reyes Martínez,Italia,155.0,191.0,346.0,2024,Italia,155 + 191 = 346
89 kg (17.02),2024,Masculino,Oro,Karlos,Nasar,Bulgaria,176.0,215.0,391.0,2024,Bulgaria,176 + 215 = 391
96 kg (18.02),2024,Masculino,Oro,Hakob,Mkrtchian,Armenia,166.0,209.0,375.0,2024,Armenia,166 + 209 = 375
102 kg (19.02),2024,Masculino,Oro,Yauheni,Tsijantsou,AIN,181.0,217.0,398.0,2024,AIN,181 + 217 = 398
109 kg (19.02),2024,Masculino,Oro,Dadaş,Dadaşbəyli,Azerbaiyán,176.0,212.0,388.0,2024,Azerbaiyán,176 + 212 = 388
+109 kg (20.02),2024,Masculino,Oro,Varazdat,Lalayan,Armenia,205.0,250.0,455.0,2024,Armenia,205 + 250 = 455
45 kg (12.02),2024,Femenino,Oro,Cansu,Bektaş,Turquía,75.0,88.0,163.0,2024,Turquía,75 + 88 = 163
49 kg (12.02),2024,Femenino,Oro,Mihaela,Cambei,Rumania,90.0,109.0,199.0,2024,Rumania,90 + 109 = 199
55 kg (13.02),2024,Femenino,Oro,Alexandra,Grigorian,Armenia,81.0,115.0,196.0,2024,Armenia,81 + 115 = 196
59 kg (14.02),2024,Femenino,Oro,Kamila,Konotop,Ucrania,105.0,125.0,230.0,2024,Ucrania,105 + 125 = 230
64 kg (15.02),2024,Femenino,Oro,Hanna,Davydova,Ucrania,100.0,120.0,220.0,2024,Ucrania,100 + 120 = 220
71 kg (16.02),2024,Femenino,Oro,Loredana,Toma,Rumania,114.0,127.0,241.0,2024,Rumania,114 + 127 = 241
76 kg (17.02),2024,Femenino,Oro,Genna,Toko Kegne,Italia,101.0,120.0,221.0,2024,Italia,101 + 120 = 221
81 kg (18.02),2024,Femenino,Oro,Weronika,Zielińska-Stubińska,Polonia,103.0,132.0,235.0,2024,Polonia,103 + 132 = 235
87 kg (19.02),2024,Femenino,Oro,Solfrid,Koanda,Noruega,120.0,160.0,280.0,2024,Noruega,120 + 160 = 280
+87 kg (20.02),2024,Femenino,Oro,Emily,Campbell,Reino Unido,112.0,151.0,263.0,2024,Reino Unido,112 + 151 = 263
55 kg (04.04),2021,Masculino,Plata,Valentin,Iancu,Rumania,108.0,140.0,248.0,2021,Rumania,108 + 140 = 248
61 kg (04.04),2021,Masculino,Plata,Shota,Mishvelidze,Georgia,135.0,155.0,290.0,2021,Georgia,135 + 155 = 290
67 kg (05.04),2021,Masculino,Plata,Mirko,Zanni,Italia,148.0,170.0,318.0,2021,Italia,148 + 170 = 318
73 kg (06.04),2021,Masculino,Plata,Marin,Robu,Moldavia,156.0,183.0,339.0,2021,Moldavia,156 + 183 = 339
81 kg (07.04),2021,Masculino,Plata,Karlos,Nasar,Bulgaria,163.0,206.0,369.0,2021,Bulgaria,163 + 206 = 369
89 kg (08.04),2021,Masculino,Plata,Revaz,Davitadze,Georgia,171.0,203.0,374.0,2021,Georgia,171 + 203 = 374
96 kg (09.04),2021,Masculino,Plata,Piotr,Asayonak,Bielorrusia,172.0,202.0,374.0,2021,Bielorrusia,172 + 202 = 374
102 kg (10.04),2021,Masculino,Plata,Arsen,Martirosian,Armenia,171.0,209.0,380.0,2021,Armenia,171 + 209 = 380
109 kg (10.04),2021,Masculino,Plata,Jristo,Jristov,Bulgaria,186.0,220.0,406.0,2021,Bulgaria,186 + 220 = 406
