Evento,Nombre,Apellido,Pais,Arrancada,Dos_Tiempos,Total,Año,Género
45 kg (12.02),Cansu,Bektaş,Turquía,75.0,88.0,163.0,2024,Femenino
49 kg (12.02),Mihaela,Cambei,Rumania,90.0,109.0,199.0,2024,Femenino
55 kg (13.02),Alexandra,Grigorian,Armenia,81.0,115.0,196.0,2024,Femenino
59 kg (14.02),Kamila,Konotop,Ucrania,105.0,125.0,230.0,2024,Femenino
64 kg (15.02),Hanna,Davydova,Ucrania,100.0,120.0,220.0,2024,Femenino
71 kg (16.02),Loredana,Toma,Rumania,114.0,127.0,241.0,2024,Femenino
76 kg (17.02),Genna,Toko Kegne,Italia,101.0,120.0,221.0,2024,Femenino
81 kg (18.02),Weronika,Zielińska-Stubińska,Polonia,103.0,132.0,235.0,2024,Femenino
87 kg (19.02),Solfrid,Koanda,Noruega,120.0,160.0,280.0,2024,Femenino
+87 kg (20.02),Emily,Campbell,Reino Unido,112.0,151.0,263.0,2024,Femenino
55 kg (04.04),Valentin,Iancu,Rumania,108.0,140.0,248.0,2021,Masculino
61 kg (04.04),Shota,Mishvelidze,Georgia,135.0,155.0,290.0,2021,Masculino
67 kg (05.04),Mirko,Zanni,Italia,148.0,170.0,318.0,2021,Masculino
73 kg (06.04),Marin,Robu,Moldavia,156.0,183.0,339.0,2021,Masculino
81 kg (07.04),Karlos,Nasar,Bulgaria,163.0,206.0,369.0,2021,Masculino
89 kg (08.04),Revaz,Davitadze,Georgia,171.0,203.0,374.0,2021,Masculino
96 kg (09.04),Piotr,Asayonak,Bielorrusia,172.0,202.0,374.0,2021,Masculino
102 kg (10.04),Arsen,Martirosian,Armenia,171.0,209.0,380.0,2021,Masculino
109 kg (10.04),Jristo,Jristov,Bulgaria,186.0,220.0,406.0,2021,Masculino
+109 kg (11.04),Gor,Minasian,Armenia,216.0,248.0,464.0,2021,Masculino
45 kg (03.04),Ivana,Petrova,Bulgaria,67.0,85.0,152.0,2021,Femenino
49 kg (03.04),Kristina,Sobol,Rusia,85.0,96.0,181.0,2021,Femenino
55 kg (04.04),Svetlana,Yershova,Rusia,88.0,112.0,200.0,2021,Femenino
59 kg (05.04),Olga,Tio,Rusia,95.0,115.0,210.0,2021,Femenino
64 kg (06.04),Sarah,Davies,Reino Unido,101.0,129.0,230.0,2021,Femenino
71 kg (07.04),Alessia,Durante,Italia,97.0,122.0,219.0,2021,Femenino
76 kg (08.04),Yana,Sotiyeva,Rusia,112.0,134.0,246.0,2021,Femenino
81 kg (09.04),Gaëlle,Nayo-Ketchanke,Francia,100.0,131.0,231.0,2021,Femenino
87 kg (10.04),Elena,Cîlcic,Moldavia,107.0,138.0,245.0,2021,Femenino
+87 kg (11.04),Anastasiya,Lysenko,Ucrania,116.0,136.0,252.0,2021,Femenino
55 kg (29.05),Josué,Brachi García,España,115.0,141.0,256.0,2022,Masculino
61 kg (29.05),Simon,Brandhuber,Alemania,134.0,152.0,286.0,2022,Masculino
67 kg (30.05),Shota,Mishvelidze,Georgia,142.0,165.0,307.0,2022,Masculino
73 kg (31.05),Kaji,Asanidze,Georgia,150.0,176.0,326.0,2022,Masculino
81 kg (01.06),Andrés,Mata Pérez,España,160.0,186.0,346.0,2022,Masculino
89 kg (02.06),Karlos,Nasar,Bulgaria,171.0,211.0,382.0,2022,Masculino
96 kg (03.06),Ara,Aghanian,Armenia,170.0,205.0,375.0,2022,Masculino
102 kg (04.06),Samvel,Gasparian,Armenia,176.0,214.0,390.0,2022,Masculino
109 kg (04.06),Guiorgui,Chjeidze,Georgia,174.0,210.0,384.0,2022,Masculino
+109 kg (05.06),Varazdat,Lalayan,Armenia,211.0,240.0,451.0,2022,Masculino
45 kg (28.05),Cansu,Bektaş,Turquía,68.0,85.0,153.0,2022,Femenino
49 kg (28.05),Anhelina,Lomachynska,Ucrania,80.0,87.0,167.0,2022,Femenino
55 kg (29.05),Kamila,Konotop,Ucrania,94.0,11.0,207.0,2022,Femenino
59 kg (30.05),Lucrezia,Magistris,Italia,98.0,114.0,212.0,2022,Femenino
64 kg (31.05),Nuray,Güngör,Turquía,99.0,120.0,219.0,2022,Femenino
71 kg (01.06),Lisa,Marie Schweizer,Alemania,103.0,120.0,223.0,2022,Femenino
76 kg (02.06),Daniela,Ivanova,Letonia,96.0,126.0,222.0,2022,Femenino
81 kg (03.06),Alina,Marushchak,Ucrania,108.0,127.0,235.0,2022,Femenino
87 kg (04.06),Anastasiya,Manievska,Ucrania,107.0,130.0,237.0,2022,Femenino
+87 kg (05.06),Melike,Günal,Turquía,108.0,134.0,242.0,2022,Femenino
55 kg (16.04),Ramin,Shamilishvili,Georgia,113.0,136.0,249.0,2023,Masculino
61 kg (16.04),Sergio,Massidda,Italia,130.0,162.0,292.0,2023,Masculino
67 kg (17.04),Acorán,Hernández Mendoza,España,140.0,165.0,305.0,2023,Masculino
73 kg (18.04),David,Sánchez López,España,150.0,185.0,335.0,2023,Masculino
81 kg (19.04),Batu,Han Yüksel,Turquía,152.0,187.0,339.0,2023,Masculino
89 kg (20.04),Andranik,Karapetian,Armenia,178.0,196.0,374.0,2023,Masculino
96 kg (21.04),Ara,Aghanian,Armenia,165.0,199.0,364.0,2023,Masculino
102 kg (22.04),Irakli,Chjeidze,Georgia,173.0,214.0,387.0,2023,Masculino
109 kg (22.04),Guiorgui,Chjeidze,Georgia,173.0,208.0,381.0,2023,Masculino
+109 kg (23.04),Varazdat,Lalayan,Armenia,212.0,250.0,462.0,2023,Masculino
45 kg (15.04),Adriana,Pană,Rumania,70.0,83.0,153.0,2023,Femenino
49 kg (15.04),Giulia,Imperio,Italia,83.0,100.0,183.0,2023,Femenino
55 kg (16.04),Svitlana,Samuliak,Ucrania,90.0,109.0,199.0,2023,Femenino
59 kg (17.04),Nina,Sterckx,Bélgica,93.0,116.0,209.0,2023,Femenino
