Evento,Año,Género,Medalla,Nombre,Apellido,Pais,Arrancada,Dos_Tiempos,Total
64 kg (06.04),2021,Femenino,Oro,Loredana,Toma,Rumania,114.0,130.0,244.0
71 kg (07.04),2021,Femenino,Oro,Emily,Godley,Reino Unido,98.0,129.0,227.0
76 kg (08.04),2021,Femenino,Oro,Iryna,Deja,Ucrania,113.0,135.0,248.0
81 kg (09.04),2021,Femenino,Oro,Alina,Marushchak,Ucrania,109.0,127.0,236.0
87 kg (10.04),2021,Femenino,Oro,Daria,Ajmerova,Rusia,108.0,138.0,246.0
+87 kg (11.04),2021,Femenino,Oro,Emily,Campbell,Reino Unido,122.0,154.0,276.0
55 kg (29.05),2022,Masculino,Oro,Anguel,Rusev,Bulgaria,113.0,144.0,257.0
61 kg (29.05),2022,Masculino,Oro,Ivan,Dimov,Bulgaria,135.0,151.0,286.0
67 kg (30.05),2022,Masculino,Oro,Valentin,Guenchev,Bulgaria,139.0,175.0,314.0
73 kg (31.05),2022,Masculino,Oro,Muhammed,Özbek,Turquía,149.0,190.0,339.0
81 kg (01.06),2022,Masculino,Oro,Rafik,Harutiunian,Armenia,160.0,194.0,354.0
89 kg (02.06),2022,Masculino,Oro,Antonino,Pizzolato,Italia,175.0,217.0,392.0
96 kg (03.06),2022,Masculino,Oro,Davit,Hovhannisian,Armenia,171.0,206.0,377.0
102 kg (04.06),2022,Masculino,Oro,David,Fischerov,Bulgaria,177.0,215.0,392.0
109 kg (04.06),2022,Masculino,Oro,Jristo,Jristov,Bulgaria,180.0,211.0,391.0
+109 kg (05.06),2022,Masculino,Oro,Lasha,Talajadze,Georgia,217.0,245.0,462.0
45 kg (28.05),2022,Femenino,Oro,Şaziye,Erdoğan,Turquía,73.0,90.0,163.0
49 kg (28.05),2022,Femenino,Oro,Giulia,Imperio,Italia,79.0,92.0,171.0
55 kg (29.05),2022,Femenino,Oro,Evagjelia,Veli,Albania,95.0,113.0,208.0
59 kg (30.05),2022,Femenino,Oro,Dora,Tchakounté,Francia,96.0,117.0,213.0
64 kg (31.05),2022,Femenino,Oro,Mariya,Hanhur,Ucrania,102.0,120.0,222.0
71 kg (01.06),2022,Femenino,Oro,Patricia,Strenius,Suecia,94.0,130.0,224.0
76 kg (02.06),2022,Femenino,Oro,Marie,Fegue,Francia,110.0,135.0,245.0
81 kg (03.06),2022,Femenino,Oro,Iryna,Deja,Ucrania,116.0,137.0,253.0
87 kg (04.06),2022,Femenino,Oro,Solfrid,Koanda,Noruega,109.0,143.0,252.0
+87 kg (05.06),2022,Femenino,Oro,Emily,Campbell,Reino Unido,118.0,153.0,271.0
55 kg (16.04),2023,Masculino,Oro,Anguel,Rusev,Bulgaria,109.0,141.0,250.0
61 kg (16.04),2023,Masculino,Oro,Shota,Mishvelidze,Georgia,136.0,162.0,298.0
67 kg (17.04),2023,Masculino,Oro,Gor,Sahakian,Armenia,145.0,175.0,320.0
73 kg (18.04),2023,Masculino,Oro,Ritvars,Suharevs,Letonia,152.0,184.0,336.0
81 kg (19.04),2023,Masculino,Oro,Oscar,Reyes Martínez,Italia,155.0,188.0,343.0
89 kg (20.04),2023,Masculino,Oro,Karlos,Nasar,Bulgaria,174.0,221.0,395.0
96 kg (21.04),2023,Masculino,Oro,Davit,Hovhannisian,Armenia,172.0,205.0,377.0
102 kg (22.04),2023,Masculino,Oro,Garik,Karapetian,Armenia,178.0,214.0,392.0
109 kg (22.04),2023,Masculino,Oro,Samvel,Gasparian,Armenia,175.0,220.0,395.0
+109 kg (23.04),2023,Masculino,Oro,Lasha,Talajadze,Georgia,222.0,252.0,474.0
45 kg (15.04),2023,Femenino,Oro,Cansu,Bektaş,Turquía,72.0,90.0,162.0
49 kg (15.04),2023,Femenino,Oro,Mihaela,Cambei,Rumania,92.0,106.0,198.0
55 kg (16.04),2023,Femenino,Oro,Andreea,Cotruță,Rumania,91.0,110.0,201.0
59 kg (17.04),2023,Femenino,Oro,Kamila,Konotop,Ucrania,106.0,129.0,235.0
64 kg (18.04),2023,Femenino,Oro,Nuray,Güngör,Turquía,99.0,120.0,219.0
71 kg (19.04),2023,Femenino,Oro,Loredana,Toma,Rumania,110.0,130.0,240.0
76 kg (20.04),2023,Femenino,Oro,Marie,Fegue,Francia,113.0,140.0,253.0
81 kg (21.04),2023,Femenino,Oro,Iryna,Deja,Ucrania,123.0,135.0,258.0
87 kg (22.04),2023,Femenino,Oro,Solfrid,Koanda,Noruega,117.0,155.0,272.0
+87 kg (23.04),2023,Femenino,Oro,Emily,Campbell,Reino Unido,110.0,143.0,253.0
55 kg (13.02),2024,Masculino,Oro,Anguel,Rusev,Bulgaria,109.0,135.0,244.0
61 kg (13.02),2024,Masculino,Oro,Gabriel,Marinov,Bulgaria,121.0,160.0,281.0
67 kg (14.02),2024,Masculino,Oro,Gor,Sahakian,Armenia,140.0,171.0,311.0
73 kg (15.02),2024,Masculino,Oro,Bozhidar,Andreev,Bulgaria,155.0,193.0,348.0
81 kg (16.02),2024,Masculino,Oro,Oscar,Reyes Martínez,Italia,155.0,191.0,346.0
89 kg (17.02),2024,Masculino,Oro,Karlos,Nasar,Bulgaria,176.0,215.0,391.0
96 kg (18.02),2024,Masculino,Oro,Hakob,Mkrtchian,Armenia,166.0,209.0,375.0
102 kg (19.02),2024,Masculino,Oro,Yauheni,Tsijantsou,AIN,181.0,217.0,398.0
109 kg (19.02),2024,Masculino,Oro,Dadaş,Dadaşbəyli,Azerbaiyán,176.0,212.0,388.0
+109 kg (20.02),2024,Masculino,Oro,Varazdat,Lalayan,Armenia,205.0,250.0,455.0
45 kg (12.02),2024,Femenino,Oro,Cansu,Bektaş,Turquía,75.0,88.0,163.0
49 kg (12.02),2024,Femenino,Oro,Mihaela,Cambei,Rumania,90.0,109.0,199.0
55 kg (13.02),2024,Femenino,Oro,Alexandra,Grigorian,Armenia,81.0,115.0,196.0
59 kg (14.02),2024,Femenino,Oro,Kamila,Konotop,Ucrania,105.0,125.0,230.0
64 kg (15.02),2024,Femenino,Oro,Hanna,Davydova,Ucrania,100.0,120.0,220.0
71 kg (16.02),2024,Femenino,Oro,Loredana,Toma,Rumania,114.0,127.0,241.0
76 kg (17.02),2024,Femenino,Oro,Genna,Toko Kegne,Italia,101.0,120.0,221.0
81 kg (18.02),2024,Femenino,Oro,Weronika,Zielińska-Stubińska,Polonia,103.0,132.0,235.0
87 kg (19.02),2024,Femenino,Oro,Solfrid,Koanda,Noruega,120.0,160.0,280.0
+87 kg (20.02),2024,Femenino,Oro,Emily,Campbell,Reino Unido,112.0,151.0,263.0
55 kg (04.04),2021,Masculino,Plata,Valentin,Iancu,Rumania,108.0,140.0,248.0
61 kg (04.04),2021,Masculino,Plata,Shota,Mishvelidze,Georgia,135.0,155.0,290.0
67 kg (05.04),2021,Masculino,Plata,Mirko,Zanni,Italia,148.0,170.0,318.0
73 kg (06.04),2021,Masculino,Plata,Marin,Robu,Moldavia,156.0,183.0,339.0
81 kg (07.04),2021,Masculino,Plata,Karlos,Nasar,Bulgaria,163.0,206.0,369.0
89 kg (08.04),2021,Masculino,Plata,Revaz,Davitadze,Georgia,171.0,203.0,374.0
96 kg (09.04),2021,Masculino,Plata,Piotr,Asayonak,Bielorrusia,172.0,202.0,374.0
102 kg (10.04),2021,Masculino,Plata,Arsen,Martirosian,Armenia,171.0,209.0,380.0
109 kg (10.04),2021,Masculino,Plata,Jristo,Jristov,Bulgaria,186.0,220.0,406.0
+109 kg (11.04),2021,Masculino,Plata,Gor,Minasian,Armenia,216.0,248.0,464.0
45 kg (03.04),2021,Femenino,Plata,Ivana,Petrova,Bulgaria,67.0,85.0,152.0
49 kg (03.04),2021,Femenino,Plata,Kristina,Sobol,Rusia,85.0,96.0,181.0
55 kg (04.04),2021,Femenino,Plata,Svetlana,Yershova,Rusia,88.0,112.0,200.0
59 kg (05.04),2021,Femenino,Plata,Olga,Tio,Rusia,95.0,115.0,210.0
64 kg (06.04),2021,Femenino,Plata,Sarah,Davies,Reino Unido,101.0,129.0,230.0
71 kg (07.04),2021,Femenino,Plata,Alessia,Durante,Italia,97.0,122.0,219.0
76 kg (08.04),2021,Femenino,Plata,Yana,Sotiyeva,Rusia,112.0,134.0,246.0
81 kg (09.04),2021,Femenino,Plata,Gaëlle,Nayo-Ketchanke,Francia,100.0,131.0,231.0
87 kg (10.04),2021,Femenino,Plata,Elena,Cîlcic,Moldavia,107.0,138.0,245.0
+87 kg (11.04),2021,Femenino,Plata,Anastasiya,Lysenko,Ucrania,116.0,136.0,252.0
55 kg (29.05),2022,Masculino,Plata,Josué,Brachi García,España,115.0,141.0,256.0
